route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
B1,MTA NYCT,B1,via 86th St / Ocean Pkwy,Bay Ridge - Manhattan Beach,3,http://www.mta.info/nyct/bus/schedule/bkln/b001cur.pdf,006CB7,FFFFFF
B11,MTA NYCT,B11,via 49th & 50th St / Avenue J,Sunset Park - Midwood,3,http://www.mta.info/nyct/bus/schedule/bkln/b011cur.pdf,006CB7,FFFFFF
B12,MTA NYCT,B12,via Clarkson Av / Empire Blvd / East New York Av,Lefferts Gardens - East New York,3,http://www.mta.info/nyct/bus/schedule/bkln/b012cur.pdf,6CBE45,FFFFFF
B13,MTA NYCT,B13,via Crescent St / Jamaica Av / Wyckoff Av,Spring Creek - Wyckoff Hospital,3,http://www.mta.info/nyct/bus/schedule/bkln/b013cur.pdf,FAA61A,FFFFFF
B14,MTA NYCT,B14,via Sutter Av / Pitkin Av,Spring Creek - Crown Heights,3,http://www.mta.info/nyct/bus/schedule/bkln/b014cur.pdf,00AEEF,FFFFFF
B15,MTA NYCT,B15,via Marcus Garvey Blvd / New Lots Av,Bedford Stuyvesant - JFK Airport,3,http://www.mta.info/nyct/bus/schedule/bkln/b015cur.pdf,B933AD,FFFFFF
B16,MTA NYCT,B16,via Ft Hamilton Pkwy / 13th & 14th Av,Bay Ridge - Lefferts Gardens,3,http://www.mta.info/nyct/bus/schedule/bkln/b016cur.pdf,FAA61A,FFFFFF
B17,MTA NYCT,B17,via Remsen Av / Seaview Av,Carnarsie - Crown Heights,3,http://www.mta.info/nyct/bus/schedule/bkln/b017cur.pdf,B933AD,FFFFFF
B2,MTA NYCT,B2,via Avenue R / Avenue S,Kings Hwy Station - Kings Plaza,3,http://www.mta.info/nyct/bus/schedule/bkln/b002cur.pdf,006CB7,FFFFFF
B20,MTA NYCT,B20,via Pennsylvania Av / Decatur St,Ridgewood - Spring Creek,3,http://www.mta.info/nyct/bus/schedule/bkln/b020cur.pdf,6CBE45,FFFFFF
B24,MTA NYCT,B24,via Greenpoint Av & 48th St / Meeker Av,Williamsburg - Greenpoint,3,http://www.mta.info/nyct/bus/schedule/bkln/b024cur.pdf,EE352E,FFFFFF
B25,MTA NYCT,B25,via Fulton St,Dwntn Bklyn & DUMBO - Broadway Junction,3,http://www.mta.info/nyct/bus/schedule/bkln/b025cur.pdf,6CBE45,FFFFFF
B26,MTA NYCT,B26,via Halsey St / Fulton St,Downtown Brooklyn - Ridgewood,3,http://www.mta.info/nyct/bus/schedule/bkln/b026cur.pdf,006CB7,FFFFFF
B3,MTA NYCT,B3,via Avenue U,Bensonhurst - Bergen Beach,3,http://www.mta.info/nyct/bus/schedule/bkln/b003cur.pdf,EE352E,FFFFFF
B31,MTA NYCT,B31,via Gerrisen Av / Avenue R,Gerritsen Beach - Kings Hwy Station,3,http://www.mta.info/nyct/bus/schedule/bkln/b031cur.pdf,FAA61A,FFFFFF
B35,MTA NYCT,B35,via Church Av / 39th St,Brownsville - Sunset Park,3,http://www.mta.info/nyct/bus/schedule/bkln/b035cur.pdf,EE352E,FFFFFF
B36,MTA NYCT,B36,via Avenue Z / Surf Av,Sheepshead Bay - Coney Island,3,http://www.mta.info/nyct/bus/schedule/bkln/b036cur.pdf,FAA61A,FFFFFF
B38,MTA NYCT,B38,via DeKalb & Lafayette Av,Ridgewood - Downtown Brooklyn,3,http://www.mta.info/nyct/bus/schedule/bkln/b038cur.pdf,00AEEF,FFFFFF
B4,MTA NYCT,B4,via Bay Ridge Pkwy / 86th St / Avenue Z,Bay Ridge - Sheepshead Bay,3,http://www.mta.info/nyct/bus/schedule/bkln/b004cur.pdf,6CBE45,FFFFFF
B41,MTA NYCT,B41,via Flatbush Av / Livingston St,Kings Plaza - Downtown Brooklyn,3,http://www.mta.info/nyct/bus/schedule/bkln/b041cur.pdf,006CB7,FFFFFF
B42,MTA NYCT,B42,via Rockaway Pkwy,Carnarsie Pier - Rockaway Parkway Station,3,http://www.mta.info/nyct/bus/schedule/bkln/b042cur.pdf,006CB7,FFFFFF
B43,MTA NYCT,B43,via Manhattan Av / Graham Av / Tompkins Av,Greenpoint - Lefferts Gardens,3,http://www.mta.info/nyct/bus/schedule/bkln/b043cur.pdf,EE352E,FFFFFF
B44,MTA NYCT,B44,via Nostrand Av,Sheepshead Bay - Williamsburg,3,http://www.mta.info/nyct/bus/schedule/bkln/b044cur.pdf,B933AD,FFFFFF
B45,MTA NYCT,B45,via St Johns Place,Downtown Brooklyn - Crown Heights,3,http://www.mta.info/nyct/bus/schedule/bkln/b045cur.pdf,EE352E,FFFFFF
B46,MTA NYCT,B46,via Utica Av - Malcolm X Blvd,Kings Plaza - Williamsburg,3,http://www.mta.info/nyct/bus/schedule/bkln/b046cur.pdf,6CBE45,FFFFFF
B47,MTA NYCT,B47,via Broadway / Ralph Av / Avenue U,Kings Plaza - Bedford-Stuyvesant,3,http://www.mta.info/nyct/bus/schedule/bkln/b047cur.pdf,FAA61A,FFFFFF
B48,MTA NYCT,B48,via Lorimer St / Franklin & Classon Av,Bedford-Stuyvesant - Greenpoint,3,http://www.mta.info/nyct/bus/schedule/bkln/b048cur.pdf,FAA61A,FFFFFF
B49,MTA NYCT,B49,via Ocean Av / Bedford & Rogers Av,Manhattan Beach - Bedford-Stuyvesant,3,http://www.mta.info/nyct/bus/schedule/bkln/b049cur.pdf,EE352E,FFFFFF
B52,MTA NYCT,B52,via Gates Av,Downtown Brooklyn - Ridgewood,3,http://www.mta.info/nyct/bus/schedule/bkln/b052cur.pdf,EE352E,FFFFFF
B54,MTA NYCT,B54,via Myrtle Av,Downtown Brooklyn - Ridgewood,3,http://www.mta.info/nyct/bus/schedule/bkln/b054cur.pdf,6CBE45,FFFFFF
B57,MTA NYCT,B57,via Flushing Av,Gowanus - Maspeth,3,http://www.mta.info/nyct/bus/schedule/bkln/b057cur.pdf,EE352E,FFFFFF
B6,MTA NYCT,B6,via Bay Pkwy / Avenue J / Flatlands Av,Bath Beach - East New York,3,http://www.mta.info/nyct/bus/schedule/bkln/b006cur.pdf,EE352E,FFFFFF
B60,MTA NYCT,B60,via Wilson Av / Rockaway Av,Williamsburg - Carnarsie,3,http://www.mta.info/nyct/bus/schedule/bkln/b060cur.pdf,B933AD,FFFFFF
B61,MTA NYCT,B61,via Van Brunt St / Columbia St / 9th St,Park Slope - Downtown Brooklyn,3,http://www.mta.info/nyct/bus/schedule/bkln/b061cur.pdf,6CBE45,FFFFFF
B62,MTA NYCT,B62,via Bklyn Navy Yard / Manhattan Av / Jackson Av,Downtown Brooklyn - Long Island City,3,http://www.mta.info/nyct/bus/schedule/bkln/b062cur.pdf,00AEEF,FFFFFF
B63,MTA NYCT,B63,via 5th Av / Atlantic Av,Bay Ridge - Cobble Hill,3,http://www.mta.info/nyct/bus/schedule/bkln/b063cur.pdf,006CB7,FFFFFF
B64,MTA NYCT,B64,via Bay Ridge Av / Bath Av,Bay Ridge - Bensonhurst,3,http://www.mta.info/nyct/bus/schedule/bkln/b064cur.pdf,6CBE45,FFFFFF
B65,MTA NYCT,B65,via Bergen St & Dean St,Downtown Brooklyn - Crown Heights,3,http://www.mta.info/nyct/bus/schedule/bkln/b065cur.pdf,00AEEF,FFFFFF
B67,MTA NYCT,B67,via Flatbush Av / 7th Av / McDonald Av,Downtown Brooklyn - Kensington,3,http://www.mta.info/nyct/bus/schedule/bkln/b067cur.pdf,EE352E,FFFFFF
B68,MTA NYCT,B68,via Coney Island Av / Brighton Beach Av,Coney Island - Windsor Terrace,3,http://www.mta.info/nyct/bus/schedule/bkln/b068cur.pdf,EE352E,FFFFFF
B69,MTA NYCT,B69,via Vanderbilt Av / 7th Av / McDonald Av,Downtown Brooklyn - Kensington,3,http://www.mta.info/nyct/bus/schedule/bkln/b068cur.pdf,006CB7,FFFFFF
B7,MTA NYCT,B7,via Kings Hwy / Saratoga Av,Midwood - Bedford-Stuyvesant,3,http://www.mta.info/nyct/bus/schedule/bkln/b007cur.pdf,EE352E,FFFFFF
B70,MTA NYCT,B70,via 92nd St / 3rd Av / 8th Av,Dyker Heights - Sunset Park,3,http://www.mta.info/nyct/bus/schedule/bkln/b070cur.pdf,B933AD,FFFFFF
B74,MTA NYCT,B74,via Mermaid Av,Sea Gate - Stillwell Av,3,http://www.mta.info/nyct/bus/schedule/bkln/b074cur.pdf,EE352E,FFFFFF
B8,MTA NYCT,B8,via 18th Av / Foster Av / Avenue D,Dyker Heights - East Flatbush,3,http://www.mta.info/nyct/bus/schedule/bkln/b008cur.pdf,FAA61A,FFFFFF
B82,MTA NYCT,B82,via Bay Pkwy / Kings Hwy / Flatlands Av,Coney Island - Spring Creek Towers,3,http://www.mta.info/nyct/bus/schedule/bkln/b082cur.pdf,6CBE45,FFFFFF
B83,MTA NYCT,B83,via Van Siclen Av / Pennsylvania Av,Spring Creek - Broadway Junction,3,http://www.mta.info/nyct/bus/schedule/bkln/b083cur.pdf,EE352E,FFFFFF
B9,MTA NYCT,B9,via 60th St / Avenue M,Bay Ridge - Kings Plaza,3,http://www.mta.info/nyct/bus/schedule/bkln/b009cur.pdf,EE352E,FFFFFF
BX3,MTA NYCT,BX03,via University Av / W 181st St,Riverdale - George Washington Bridge,3,http://www.mta.info/nyct/bus/schedule/bronx/bx003cur.pdf,EE352E,FFFFFF
BX4,MTA NYCT,BX4,via Westchester Av,Westchester Sq - The Hub,3,http://www.mta.info/nyct/bus/schedule/bronx/bx004cur.pdf,FAA61A,FFFFFF
BX4A,MTA NYCT,BX4A,via Metropolitan Oval / Westchester Av,Westchester Sq - The Hub,3,http://www.mta.info/nyct/bus/schedule/bronx/bx004cur.pdf,FAA61A,FFFFFF
BX5,MTA NYCT,BX5,via Bruckner Blvd Svc Rd / Story Av,Pelham Bay - West Farms Rd & Southern Blvd,3,http://www.mta.info/nyct/bus/schedule/bronx/bx005cur.pdf,EE352E,FFFFFF
BX6,MTA NYCT,BX6,via E 161st St / E 163rd St,Hunts Point - Riverside Dr,3,http://www.mta.info/nyct/bus/schedule/bronx/bx006cur.pdf,EE352E,FFFFFF
BX7,MTA NYCT,BX7,via Riverdale Av / Broadway,Riverdale - Washington Heights,3,http://www.mta.info/nyct/bus/schedule/bronx/bx007cur.pdf,EE352E,FFFFFF
BX8,MTA NYCT,BX8,via Bronxwood Av / Williamsbridge Rd / Crosby Av,Williamsbridge - Locust Point,3,http://www.mta.info/nyct/bus/schedule/bronx/bx008cur.pdf,FAA61A,FFFFFF
BX9,MTA NYCT,BX9,via Broadway / Kingsbridge Rd / Southern Blvd,Riverdale - West Farms Sq,3,http://www.mta.info/nyct/bus/schedule/bronx/bx009cur.pdf,FAA61A,FFFFFF
BX1,MTA NYCT,BX1,via Grand Concourse / E 138th St,Riverdale - Mott Haven,3,http://www.mta.info/nyct/bus/schedule/bronx/bx001cur.pdf,00AEEF,FFFFFF
BX10,MTA NYCT,BX10,via Riverdale Av / W 231st St / Jerome Av,Riverdale - Norwood,3,http://www.mta.info/nyct/bus/schedule/bronx/bx010cur.pdf,006CB7,FFFFFF
BX11,MTA NYCT,BX11,via Claremont Pkwy / E 170th St,West Farms Rd - Southern Blvd & GW Bridge,3,http://www.mta.info/nyct/bus/schedule/bronx/bx011cur.pdf,FAA61A,FFFFFF
BX12,MTA NYCT,BX12,via Pelham Pkwy / Fordham Rd,Pelham Pkwy - Fordham Rd,3,http://www.mta.info/nyct/bus/schedule/bronx/bx012cur.pdf,006CB7,FFFFFF
BX12+,MTA NYCT,BX12-SBS,via Pelham Pkwy / Fordham Rd / Bay Plaza Shop Ctr,Pelham Pkwy - Fordham Rd SBS,3,http://www.mta.info/nyct/bus/schedule/bronx/bx012scur.pdf,006CB7,FFFFFF
BX13,MTA NYCT,BX13,via Ogden Av / W 181st St,George Washington Bridge - Yankee Stadium,3,http://www.mta.info/nyct/bus/schedule/bronx/bx013cur.pdf,006CB7,FFFFFF
BX15,MTA NYCT,BX15,via 3rd Av / 125th St,Fordham Plaza - Manhattanville,3,http://www.mta.info/nyct/bus/schedule/bronx/bx015cur.pdf,FAA61A,FFFFFF
BX16,MTA NYCT,BX16,via E 233rd St / Nereid Av,Pelham - Norwood,3,http://www.mta.info/nyct/bus/schedule/bronx/bx016cur.pdf,00AEEF,FFFFFF
BX17,MTA NYCT,BX17,via Crotona Av / Prospect Av,Fordham Plaza - Port Morris,3,http://www.mta.info/nyct/bus/schedule/bronx/bx017cur.pdf,006CB7,FFFFFF
BX18,MTA NYCT,BX18,via Macombs Rd,Tremont - Morris Heights,3,http://www.mta.info/nyct/bus/schedule/bronx/bx018cur.pdf,6CBE45,FFFFFF
BX19,MTA NYCT,BX19,via Southern Blvd / E 149th St,NY Botanical Garden - Riverbank Park,3,http://www.mta.info/nyct/bus/schedule/bronx/bx019cur.pdf,B933AD,FFFFFF
BX2,MTA NYCT,BX2,via Grand Concourse / E 149th St,Kingsbridge Heights - Mott Haven,3,http://www.mta.info/nyct/bus/schedule/bkln/b002cur.pdf,FAA61A,FFFFFF
BX20,MTA NYCT,BX20,via Broadway / Henry Hudson Pkwy,Riverdale - Inwood,3,http://www.mta.info/nyct/bus/schedule/bronx/bx020cur.pdf,00AEEF,FFFFFF
BX21,MTA NYCT,BX21,via Morris Park Av / Boston Rd,Westchester Sq - Mott Haven,3,http://www.mta.info/nyct/bus/schedule/bronx/bx021cur.pdf,6CBE45,FFFFFF
BX22,MTA NYCT,BX22,via Castle Hill Av,Bedford Park - Castle Hill,3,http://www.mta.info/nyct/bus/schedule/bronx/bx022cur.pdf,EE352E,FFFFFF
BX24,MTA NYCT,BX24,via Country Club Loop,Pelham Bay - Country Club Loop,3,http://www.mta.info/nyct/bus/schedule/bronx/bx024cur.pdf,6CBE45,FFFFFF
BX26,MTA NYCT,BX26,via Allerton Av,Co-op City Section 5 - Bedford Park,3,http://www.mta.info/nyct/bus/schedule/bronx/bx026cur.pdf,FAA61A,FFFFFF
BX27,MTA NYCT,BX27,via Westchester Av / Soundview Av,Clasons Pt - West Farms Rd & Southern Blvd,3,http://www.mta.info/nyct/bus/schedule/bronx/bx027cur.pdf,00AEEF,FFFFFF
BX28,MTA NYCT,BX28,via E Gun Hill Rd / Bartow Av,Co-op City Section 5 - Fordham Center,3,http://www.mta.info/nyct/bus/schedule/bronx/bx028cur.pdf,00AEEF,FFFFFF
BX29,MTA NYCT,BX29,via City Island Rd / City Island Av,City Island - Co-op City Bay Plaza,3,http://www.mta.info/nyct/bus/schedule/bronx/bx029cur.pdf,00AEEF,FFFFFF
BX30,MTA NYCT,BX30,via Boston Rd / E Gun Hill Rd,Co-op City Section 5 - Norwood,3,http://www.mta.info/nyct/bus/schedule/bronx/bx030cur.pdf,EE352E,FFFFFF
BX31,MTA NYCT,BX31,via Eastchester Rd,Woodlawn - Westchester Sq,3,http://www.mta.info/nyct/bus/schedule/bronx/bx031cur.pdf,EE352E,FFFFFF
BX32,MTA NYCT,BX32,via Morris Av / Jerome Av,Kingsbridge VA Hospital - Mott Haven,3,http://www.mta.info/nyct/bus/schedule/bronx/bx032cur.pdf,6CBE45,FFFFFF
BX33,MTA NYCT,BX33,via E 138th St / W 135th St,Port Morris - Harlem,3,http://www.mta.info/nyct/bus/schedule/bronx/bx033cur.pdf,6CBE45,FFFFFF
BX34,MTA NYCT,BX34,via Bainbridge Av,Woodlawn - Fordham Center,3,http://www.mta.info/nyct/bus/schedule/bronx/bx034cur.pdf,B933AD,FFFFFF
BX35,MTA NYCT,BX35,via E 167th / W 181st St,West Farms Rd & Southern Blvd - GW Bridge,3,http://www.mta.info/nyct/bus/schedule/bronx/bx035cur.pdf,00AEEF,FFFFFF
BX36,MTA NYCT,BX36,via E 174th / E 180th St,Soundview - George Washington Bridge,3,http://www.mta.info/nyct/bus/schedule/bronx/bx036cur.pdf,B933AD,FFFFFF
BX38,MTA NYCT,BX38,via E Gun Hill Rd / Co-op City Blvd,Co-op City Bay Plaza - Norwood,3,http://www.mta.info/nyct/bus/schedule/bkln/b038cur.pdf,FAA61A,FFFFFF
