stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
404827,,MALCOLM X BL - W 146 ST,,40.821053,-73.935913,,,0,
400088,,MALCOLM X BL - W 145 ST,,40.820152,-73.936607,,,0,
400089,,MALCOLM X BL - W 142 ST,,40.818249,-73.938004,,,0,
400091,,W 139 ST - MALCOLM X BL,,40.81638,-73.938744,,,0,
400092,,5 AV - W 138 ST,,40.815201,-73.935982,,,0,
400093,,5 AV - W 137 ST,,40.813793,-73.937004,,,0,
400094,,5 AV - W 135 ST,,40.812366,-73.938042,,,0,
400095,,5 AV - W 132 ST,,40.810619,-73.939285,,,0,
400096,,5 AV - W 130 ST,,40.809345,-73.940208,,,0,
400097,,5 AV - W 128 ST,,40.808075,-73.941139,,,0,
400098,,5 AV - W 125 ST,,40.806137,-73.942558,,,0,
400099,,MT MORRIS PK W - W 124 ST,,40.80619,-73.944603,,,0,
400100,,MT MORRIS PK W - W 121 ST,,40.804607,-73.945763,,,0,
400101,,W 120 ST - 5 AV,,40.803219,-73.944672,,,0,
400102,,5 AV - W 118 ST,,40.801693,-73.945839,,,0,
400103,,5 AV - W 116 ST,,40.800354,-73.946815,,,0,
400105,,5 AV - W 112 ST,,40.797874,-73.948639,,,0,
400107,,5 AV - W 109 ST,,40.796535,-73.94957,,,0,
400108,,5 AV - W 108 ST,,40.795513,-73.950317,,,0,
400109,,5 AV - W 106 ST,,40.794178,-73.951286,,,0,
400110,,5 AV - W 104 ST,,40.793072,-73.952095,,,0,
400111,,5 AV - W 102 ST,,40.791569,-73.953178,,,0,
404081,,5 AV - W 98 ST,,40.789192,-73.954872,,,0,
404168,,5 AV - W 96 ST,,40.788216,-73.955635,,,0,
400115,,5 AV - W 94 ST,,40.78656,-73.956863,,,0,
400116,,5 AV - W 92 ST,,40.785461,-73.957657,,,0,
400117,,5 AV - W 90 ST,,40.784,-73.958748,,,0,
400118,,5 AV - W 87 ST,,40.782188,-73.960052,,,0,
400119,,5 AV - W 84 ST,,40.780434,-73.961319,,,0,
400120,,5 AV - W 80 ST,,40.777313,-73.963593,,,0,
404303,,5 AV - W 78 ST,,40.776253,-73.964386,,,0,
400122,,5 AV - W 77 ST,,40.775612,-73.964836,,,0,
400123,,5 AV - W 75 ST,,40.774357,-73.965775,,,0,
400124,,5 AV - W 72 ST,,40.772209,-73.967323,,,0,
400125,,5 AV - W 69 ST,,40.77026,-73.968742,,,0,
400126,,5 AV - W 65 ST,,40.768234,-73.970238,,,0,
400127,,5 AV - W 64 ST,,40.767365,-73.970863,,,0,
400128,,5 AV - W 62 ST,,40.766083,-73.971779,,,0,
400512,,5 AV - W 59 ST,,40.764191,-73.973167,,,0,
403266,,5 AV - W 55 ST,,40.761799,-73.974937,,,0,
400514,,5 AV - W 52 ST,,40.759926,-73.976303,,,0,
400515,,5 AV - W 49 ST,,40.75803,-73.977676,,,0,
400516,,5 AV - W 46 ST,,40.756157,-73.97905,,,0,
408179,,5 AV - W 44 ST,,40.75489,-73.97995,,,0,
400518,,5 AV - W 41 ST,,40.753021,-73.981346,,,0,
400322,,5 AV - W 39 ST,,40.751308,-73.98259,,,0,
400323,,5 AV - W 36 ST,,40.749477,-73.983925,,,0,
400324,,5 AV - W 33 ST,,40.747509,-73.985359,,,0,
400325,,5 AV - W 31 ST,,40.746262,-73.986267,,,0,
400326,,5 AV - W 29 ST,,40.745071,-73.987137,,,0,
400327,,5 AV - W 26 ST,,40.743153,-73.988541,,,0,
400329,,5 AV - W 23 ST,,40.741241,-73.990059,,,0,
400330,,5 AV - W 20 ST,,40.739407,-73.991257,,,0,
400331,,5 AV - W 17 ST,,40.737671,-73.992523,,,0,
402857,,5 AV - W 14 ST,,40.735714,-73.99395,,,0,
400333,,5 AV - W 12 ST,,40.73447,-73.99485,,,0,
400334,,5 AV - W 10 ST,,40.733223,-73.99575,,,0,
400335,,E 8 ST - 5 AV,,40.731998,-73.995926,,,0,
400336,,E 8 ST - UNIVERSITY PL,,40.731598,-73.994995,,,0,
400337,,E 8 ST - MERCER ST,,40.730709,-73.992836,,,0,
404010,,E 8 ST - LAFAYETTE ST,,40.730068,-73.99128,,,0,
403793,,4 AV - E 9 ST,,40.730465,-73.990479,,,0,
400001,,4 AV - E 9 ST,,40.730614,-73.990433,,,0,
400002,,4 AV - E 12 ST,,40.732609,-73.98996,,,0,
400003,,4 AV - E 13 ST,,40.733936,-73.989723,,,0,
803113,,UNION SQ E - E 15 ST,,40.735397,-73.989792,,,0,
404936,,PARK AV S - E 18 ST,,40.736809,-73.98867,,,0,
400007,,PARK AV S - E 21 ST,,40.738976,-73.987053,,,0,
803114,,PARK AV S - E 23 ST,,40.740234,-73.986237,,,0,
403316,,E 25 ST - PARK AV S,,40.741566,-73.985497,,,0,
400186,,MADISON AV - E 27 ST,,40.74366,-73.985847,,,0,
400352,,MADISON AV - E 30 ST,,40.74551,-73.984489,,,0,
400190,,MADISON AV - E 35 ST,,40.748314,-73.98246,,,0,
400191,,MADISON AV - E 37 ST,,40.749809,-73.981346,,,0,
403458,,MADISON AV - E 41 ST,,40.752029,-73.979752,,,0,
400018,,MADISON AV - E 43 ST,,40.753349,-73.97876,,,0,
400019,,MADISON AV - E 46 ST,,40.75523,-73.977394,,,0,
400020,,MADISON AV - E 48 ST,,40.756496,-73.976463,,,0,
400021,,MADISON AV - E 50 ST,,40.75774,-73.975555,,,0,
400022,,MADISON AV - E 53 ST,,40.759605,-73.974197,,,0,
400023,,MADISON AV - E 56 ST,,40.761497,-73.972816,,,0,
400024,,MADISON AV - E 58 ST,,40.762703,-73.971962,,,0,
403837,,MADISON AV - E 61 ST,,40.764729,-73.970467,,,0,
400026,,MADISON AV - E 63 ST,,40.766273,-73.96933,,,0,
404994,,MADISON AV - E 66 ST,,40.767838,-73.968185,,,0,
400028,,MADISON AV - E 67 ST,,40.768814,-73.967484,,,0,
400029,,MADISON AV - E 69 ST,,40.770077,-73.96656,,,0,
400030,,MADISON AV - E 72 ST,,40.772148,-73.96505,,,0,
400031,,MADISON AV - E 74 ST,,40.773392,-73.964142,,,0,
400032,,MADISON AV - E 77 ST,,40.775322,-73.962738,,,0,
400033,,MADISON AV - E 79 ST,,40.776695,-73.961731,,,0,
400034,,MADISON AV - E 83 ST,,40.778793,-73.960205,,,0,
400036,,MADISON AV - E 86 ST,,40.781155,-73.958481,,,0,
400037,,MADISON AV - E 89 ST,,40.782677,-73.957375,,,0,
400038,,MADISON AV - E 91 ST,,40.784359,-73.956139,,,0,
400039,,MADISON AV - E 93 ST,,40.785637,-73.955208,,,0,
