route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
M1,20120701CC,20120701CC_029000_M01_0105_M01_1,E VILLAGE 8 ST via 5 AV,1,,M010105
M1,20120701CA,20120701CA_029000_M01_0105_M01_1,E VILLAGE 8 ST via 5 AV,1,,M010105
M1,20120701CC,20120701CC_031500_M01_0105_M01_2,E VILLAGE 8 ST via 5 AV,1,,M010105
M1,20120701CA,20120701CA_031500_M01_0105_M01_2,E VILLAGE 8 ST via 5 AV,1,,M010105
M1,20120701CC,20120701CC_033500_M01_0105_M01_3,E VILLAGE 8 ST via 5 AV,1,,M010105
M1,20120701CA,20120701CA_033500_M01_0105_M01_3,E VILLAGE 8 ST via 5 AV,1,,M010105
M1,20120701CC,20120701CC_035000_M01_0105_M01_4,E VILLAGE 8 ST via 5 AV,1,,M010105
M1,20120701CA,20120701CA_035000_M01_0105_M01_4,E VILLAGE 8 ST via 5 AV,1,,M010105
M1,20120701CC,20120701CC_036200_M01_0105_M01_5,E VILLAGE 8 ST via 5 AV,1,,M010105
M1,20120701CA,20120701CA_036200_M01_0105_M01_5,E VILLAGE 8 ST via 5 AV,1,,M010105
M1,20120701CC,20120701CC_037700_M01_0105_M01_6,E VILLAGE 8 ST via 5 AV,1,,M010105
M1,20120701CA,20120701CA_037700_M01_0105_M01_6,E VILLAGE 8 ST via 5 AV,1,,M010105
M1,20120701CC,20120701CC_039200_M01_0105_M01_7,E VILLAGE 8 ST via 5 AV,1,,M010105
M1,20120701CA,20120701CA_039200_M01_0105_M01_7,E VILLAGE 8 ST via 5 AV,1,,M010105
M1,20120701CC,20120701CC_041900_M01_0105_M01_8,E VILLAGE 8 ST via 5 AV,1,,M010105
M1,20120701CA,20120701CA_041900_M01_0105_M01_8,E VILLAGE 8 ST via 5 AV,1,,M010105
M1,20120701CC,20120701CC_041900_M01_0106_M01_2,LIMITED EAST VILLAGE ST via 5 AV,1,,M010106
M1,20120701CA,20120701CA_041900_M01_0106_M01_2,LIMITED EAST VILLAGE ST via 5 AV,1,,M010106
M1,20120701CC,20120701CC_043100_M01_0105_M01_10,E VILLAGE 8 ST via 5 AV,1,,M010105
M1,20120701CA,20120701CA_043100_M01_0105_M01_10,E VILLAGE 8 ST via 5 AV,1,,M010105
M1,20120701CC,20120701CC_042900_M01_0106_M01_9,LIMITED EAST VILLAGE ST via 5 AV,1,,M010106
M1,20120701CA,20120701CA_042900_M01_0106_M01_9,LIMITED EAST VILLAGE ST via 5 AV,1,,M010106
M1,20120701CC,20120701CC_043900_M01_0106_M01_X01,LIMITED EAST VILLAGE ST via 5 AV,1,,M010106
M1,20120701CA,20120701CA_043900_M01_0106_M01_X01,LIMITED EAST VILLAGE ST via 5 AV,1,,M010106
M1,20120701CC,20120701CC_044300_M01_0105_M01_3,E VILLAGE 8 ST via 5 AV,1,,M010105
M1,20120701CA,20120701CA_044300_M01_0105_M01_3,E VILLAGE 8 ST via 5 AV,1,,M010105
M1,20120701CC,20120701CC_044900_M01_0106_M01_X02,LIMITED EAST VILLAGE ST via 5 AV,1,,M010106
M1,20120701CA,20120701CA_044900_M01_0106_M01_X02,LIMITED EAST VILLAGE ST via 5 AV,1,,M010106
M1,20120701CC,20120701CC_045500_M01_0105_M01_X03,E VILLAGE 8 ST via 5 AV,1,,M010105
M1,20120701CA,20120701CA_045500_M01_0105_M01_X03,E VILLAGE 8 ST via 5 AV,1,,M010105
M1,20120701CC,20120701CC_045900_M01_0106_M01_11,LIMITED EAST VILLAGE ST via 5 AV,1,,M010106
M1,20120701CA,20120701CA_045900_M01_0106_M01_11,LIMITED EAST VILLAGE ST via 5 AV,1,,M010106
M1,20120701CC,20120701CC_047000_M01_0105_M01_13,E VILLAGE 8 ST via 5 AV,1,,M010105
M1,20120701CA,20120701CA_047000_M01_0105_M01_13,E VILLAGE 8 ST via 5 AV,1,,M010105
M1,20120701CC,20120701CC_046800_M01_0106_M01_12,LIMITED EAST VILLAGE ST via 5 AV,1,,M010106
M1,20120701CA,20120701CA_046800_M01_0106_M01_12,LIMITED EAST VILLAGE ST via 5 AV,1,,M010106
M1,20120701CC,20120701CC_047700_M01_0106_M01_4,LIMITED EAST VILLAGE ST via 5 AV,1,,M010106
M1,20120701CA,20120701CA_047700_M01_0106_M01_4,LIMITED EAST VILLAGE ST via 5 AV,1,,M010106
M1,20120701CC,20120701CC_048500_M01_0105_M01_14,E VILLAGE 8 ST via 5 AV,1,,M010105
M1,20120701CA,20120701CA_048500_M01_0105_M01_14,E VILLAGE 8 ST via 5 AV,1,,M010105
M1,20120701CC,20120701CC_048600_M01_0106_M01_15,LIMITED EAST VILLAGE ST via 5 AV,1,,M010106
M1,20120701CA,20120701CA_048600_M01_0106_M01_15,LIMITED EAST VILLAGE ST via 5 AV,1,,M010106
M1,20120701CC,20120701CC_050000_M01_0105_M01_18,E VILLAGE 8 ST via 5 AV,1,,M010105
M1,20120701CA,20120701CA_050000_M01_0105_M01_18,E VILLAGE 8 ST via 5 AV,1,,M010105
M1,20120701CC,20120701CC_050400_M01_0106_M01_5,LIMITED EAST VILLAGE ST via 5 AV,1,,M010106
M1,20120701CA,20120701CA_050400_M01_0106_M01_5,LIMITED EAST VILLAGE ST via 5 AV,1,,M010106
M1,20120701CC,20120701CC_051500_M01_0105_M01_19,E VILLAGE 8 ST via 5 AV,1,,M010105
M1,20120701CA,20120701CA_051500_M01_0105_M01_19,E VILLAGE 8 ST via 5 AV,1,,M010105
M1,20120701CC,20120701CC_053000_M01_0105_M01_16,E VILLAGE 8 ST via 5 AV,1,,M010105
M1,20120701CA,20120701CA_053000_M01_0105_M01_16,E VILLAGE 8 ST via 5 AV,1,,M010105
M1,20120701CC,20120701CC_054500_M01_0105_M01_7,E VILLAGE 8 ST via 5 AV,1,,M010105
